General AI (AGI),Narrow AI,Self-awareness,Theory of Mind,logic for data generation based on keyword
0.16046465692819467,0.9492486905475601,0.5085469296637012,0.03831462010803399,0.8979896429912013
0.6236398292800905,0.6779248858985043,0.7932129770609256,0.687833695454095,0.3117946612119157
0.6405843052695022,0.9311931577129313,0.9407413039789291,0.2682707514207,0.24826208014246476
0.18903942279912544,0.8542801356309381,0.22186899577059027,0.13952550279420783,0.48288329359727367
0.18740465769891124,0.021416206815992544,0.36148494804692644,0.20927611802134805,0.3585869766054627
0.6940683086994883,0.7014867692091987,0.09647088084969535,0.13653414769002004,0.20265039848025812
0.7890811279008826,0.2579443955581685,0.9653180264265684,0.6479221381918048,0.648193907818994
0.058699900684563766,0.2133505652959773,0.8981480173679658,0.08529752954083614,0.5588972850221212
0.03250549060581298,0.5504873952767761,0.813320378889583,0.48321817694469815,0.6559929368460687
0.022276191441517157,0.10701630447011545,0.7410374275596328,0.5844814089436053,0.5917031601178924
